_id,id,asset_id,location,alternative_name,type,accessible,hours,location_details,url,address,PostedDate,AssetName,Reason,Comments,Status,geometry
195,168,30923,Moorevale Park,Moorevale Park Tennis Club Washroom,Washroom Building,"Accessible Stall, Entrance Access Ramp, Child Change Table",9 a.m. to 10 p.m.,Located in the Moore Park Tennis Club building.,https://www.toronto.ca/data/parks/prd/facilities/complex/168/index.html,175 Moore Ave  ,2024-04-17T07:25:38,Moorevale Park Tennis Club Washroom,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.3822504, 43.69358544]]}"
196,125,29561,Lithuania Park,Lithuania Park Washroom,Washroom Building,"Accessible Stall, Entrance Access Ramp, Automatic Door Opener",9 a.m. to 10 p.m.,Located on the pathway in the northwest corner of the park near Oakmount Road.,https://www.toronto.ca/data/parks/prd/facilities/complex/125/index.html,155 Oakmount Rd  ,2024-04-16T11:59:15,Lithuania Park Washroom,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.46403823, 43.659008029999995]]}"
197,15,29527,Home Smith Park,Home Smith Park Washroom ,Washroom Building,"Accessible Stall, Entrance at Grade",9 a.m. to 10 p.m.,Located on the pathway next to Picnic Site #2.,https://www.toronto.ca/data/parks/prd/facilities/complex/15/index.html,4101 Dundas St  W ,2024-04-16T11:58:37,Home Smith Park Washroom ,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.50130041, 43.65855864]]}"
198,79,29524,Hillcrest Park,Hillcrest Park Washroom,Washroom Building,,9 a.m. to 10 p.m.,Located on the north side of the park next to the dog off-leash area and the community garden.,https://www.toronto.ca/data/parks/prd/facilities/complex/79/index.html,950 Davenport Rd  ,2024-04-15T14:30:22,Hillcrest Park Washroom,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.42408744000001, 43.676581289999994]]}"
199,77,29462,High Park,High Park Colborne Lodge Coach House  Washroom,Washroom Building,"Accessible Stall, Entrance at Grade",9 a.m. to 10 p.m.,Located in the coach house building north of Colborne Lodge.,https://www.toronto.ca/data/parks/prd/facilities/complex/77/index.html,1873 Bloor St  W ,2024-04-14T12:10:53,High Park Colborne Lodge Coach House  Washroom,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.46007316, 43.64065803]]}"
200,798,13016,Centennial Park - Etobicoke,Centennial Park Rob Ford Stadium Accessible Washrooms,Washroom Building,Automatic Door Opener,9 a.m. to 10 p.m.,Located on the west side of Centennial Park Stadium at the south end.,https://www.toronto.ca/data/parks/prd/facilities/complex/798/index.html,256 Centennial Park Rd  ,2024-04-05T17:29:18,Centennial Park â Rob Ford Stadium Accessible Washrooms,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.58513567, 43.65337048]]}"
201,918,29365,Don Valley Golf Course,Don Valley Golf Course Washroom,Washroom Building,,9 a.m. to 10 p.m.,Located at the north entrance of the building.,https://www.toronto.ca/data/parks/prd/facilities/complex/918/index.html,4200 Yonge St  ,2024-03-30T09:40:59,Don Valley Golf Course Washroom,None,None,1,"{'type': 'MultiPoint', 'coordinates': [[-79.40839876, 43.748852]]}"
202,805,28900,Royal Crest Rink,Royal Crest Park Outdoor Rink Washroom,Washroom Building,,View outdoor rink hours,Located in the outdoor ice rink building.,https://www.toronto.ca/data/parks/prd/facilities/complex/805/index.html,50 Cabernet Cir  ,2024-03-13T09:48:43,Royal Crest Park Outdoor Rink Washroom,Closed for the Season,None,0,"{'type': 'MultiPoint', 'coordinates': [[-79.60473601999999, 43.75271214]]}"
203,812,29720,Valleyfield Park,Valleyfield Park Outdoor Rink Washroom,Washroom Building,,View outdoor rink hours,Located in the rink building next to the ice rink.,https://www.toronto.ca/data/parks/prd/facilities/complex/812/index.html,35 The Westway ,2024-03-12T13:25:38,Valleyfield Park Outdoor Rink Washroom,Closed for the Season,None,0,"{'type': 'MultiPoint', 'coordinates': [[-79.53438656, 43.69466171]]}"
204,809,28904,Sunnydale Acres Park,Sunnydale Acres Park Outdoor Rink Washroom,Washroom Building,,View outdoor rink hours,Located in the outdoor ice rink building.,https://www.toronto.ca/data/parks/prd/facilities/complex/809/index.html,50 Amoro Dr  ,2024-03-12T12:34:51,Sunnydale Acres Park Outdoor Rink Washroom,Closed for the Season,None,0,"{'type': 'MultiPoint', 'coordinates': [[-79.57792068, 43.724459350000004]]}"
